Date,equity,cash,positions,buy_hold
2017-02-28,100000.0,100000.0,0,97428.35509360724
2017-03-01,100000.0,100000.0,0,99457.86771757586
2017-03-02,100000.0,100000.0,0,98374.4796403358
2017-03-03,100000.0,100000.0,0,99228.5860295532
2017-03-06,100000.0,100000.0,0,99061.74732511581
2017-03-07,100000.0,100000.0,0,99843.43792372233
2017-03-08,100000.0,100000.0,0,99978.40544382216
2017-03-09,100000.0,100000.0,0,99754.96544783899
2017-03-10,100000.0,100000.0,0,100484.15385572887
2017-03-13,100000.0,100000.0,0,102397.8222298639
2017-03-14,100000.0,100000.0,0,101889.04932147218
2017-03-15,100000.0,100000.0,0,103246.21167402768
2017-03-16,100000.0,100000.0,0,103203.04571381357
2017-03-17,100000.0,100000.0,0,103652.72183209551
2017-03-20,100000.0,100000.0,0,105336.89765245329
2017-03-21,100000.0,100000.0,0,102872.80544969474
2017-03-22,100000.0,100000.0,0,104543.22093012555
2017-03-23,100000.0,100000.0,0,104524.39916846115
2017-03-24,100000.0,100000.0,0,107055.29716620743
2017-03-27,100000.0,100000.0,0,107789.86049105924
2017-03-28,100000.0,100000.0,0,108141.99184602598
2017-03-29,100000.0,100000.0,0,107600.77298177042
2017-03-30,100000.0,100000.0,0,108398.1329885418
2017-03-31,100000.0,100000.0,0,107939.54227057107
2017-04-03,100000.0,100000.0,0,107474.57336688472
2017-04-04,100000.0,100000.0,0,105946.38526441701
2017-04-05,100000.0,100000.0,0,105476.62915328178
2017-04-06,100000.0,100000.0,0,106068.93438568273
2017-04-07,100000.0,100000.0,0,105592.25155456147
2017-04-10,100000.0,100000.0,0,104136.19748873719
2017-04-11,100000.0,100000.0,0,103698.44389697275
2017-04-12,100000.0,100000.0,0,102008.15569999786
2017-04-13,100000.0,100000.0,0,101581.37515752233
2017-04-17,100000.0,100000.0,0,103348.08251291417
2017-04-18,100000.0,100000.0,0,103240.21070197968
2017-04-19,100000.0,100000.0,0,103558.76352930788
2017-04-20,100000.0,100000.0,0,105496.12091334634
2017-04-21,100000.0,100000.0,0,105104.6276980622
2017-04-24,100000.0,100000.0,0,105657.0992984072
2017-04-25,100000.0,100000.0,0,106862.7809805899
2017-04-26,100000.0,100000.0,0,106345.82519360638
2017-04-27,100000.0,100000.0,0,107688.4620417424
2017-04-28,100000.0,100000.0,0,107261.00949210337
2017-05-01,100000.0,100000.0,0,108836.39986267753
2017-05-02,100000.0,100000.0,0,108193.61644700835
2017-05-03,100000.0,100000.0,0,108618.13366238891
2017-05-04,100000.0,100000.0,0,108056.16334772436
2017-05-05,100000.0,100000.0,0,109615.59658915995
2017-05-08,100000.0,100000.0,0,109027.55200459028
2017-05-09,100000.0,100000.0,0,110625.72260757079
2017-05-10,100000.0,100000.0,0,115631.89481492134
2017-05-11,100000.0,100000.0,0,116712.6680800258
2017-05-12,100000.0,100000.0,0,117367.35860972416
2017-05-15,100000.0,100000.0,0,118958.22024717482
2017-05-16,100000.0,100000.0,0,119829.62161571695
2017-05-17,100000.0,100000.0,0,113899.69847504805
2017-05-18,100000.0,100000.0,0,116509.89640927137
2017-05-19,100000.0,100000.0,0,117465.32507594743
2017-05-22,100000.0,100000.0,0,118626.37405271218
2017-05-23,100000.0,100000.0,0,118278.4122165895
2017-05-24,100000.0,100000.0,0,119779.12689576068
2017-05-25,100000.0,100000.0,0,120916.29047293961
2017-05-26,100000.0,100000.0,0,121771.95064780215
2017-05-30,100000.0,100000.0,0,123514.4448929211
2017-05-31,100000.0,100000.0,0,123274.17627674965
2017-06-01,100000.0,100000.0,0,123322.90249563921
2017-06-02,100000.0,100000.0,0,125941.16676648901
2017-06-05,100000.0,100000.0,0,127222.69115923217
2017-06-06,100000.0,100000.0,0,127746.59014658752
2017-06-07,100000.0,100000.0,0,129206.74034494732
2017-06-08,100000.0,100000.0,0,132084.20040646222
2017-06-09,100000.0,100000.0,0,125180.6721966511
2017-06-12,100000.0,100000.0,0,125587.49112133656
2017-06-13,100000.0,100000.0,0,126765.57159050296
2017-06-14,100000.0,100000.0,0,126105.25365880714
2017-06-15,100000.0,100000.0,0,125513.89687716728
2017-06-16,100000.0,100000.0,0,124801.77049471467
2017-06-19,100000.0,100000.0,0,128819.94106284463
2017-06-20,100000.0,100000.0,0,127996.54495757348
2017-06-21,100000.0,100000.0,0,130889.34010684033
2017-06-22,100000.0,100000.0,0,130543.3277557942
2017-06-23,100000.0,100000.0,0,129961.32329332177
2017-06-26,100000.0,100000.0,0,129160.45449296938
2017-06-27,100000.0,100000.0,0,125154.42922089246
2017-06-28,100000.0,100000.0,0,127891.2151350374
2017-06-29,100000.0,100000.0,0,124255.60281757246
2017-06-30,100000.0,100000.0,0,122197.6909947464
2017-07-03,100000.0,100000.0,0,119500.76413621836
2017-07-05,100000.0,100000.0,0,122084.04606892355
2017-07-06,100000.0,100000.0,0,121353.16886447257
2017-07-07,100000.0,100000.0,0,123211.3016645419
2017-07-10,100000.0,100000.0,0,125533.23560847685
2017-07-11,100000.0,100000.0,0,127635.79982006829
2017-07-12,100000.0,100000.0,0,130203.31725874447
2017-07-13,100000.0,100000.0,0,129635.66171864727
2017-07-14,100000.0,100000.0,0,131594.7710401242
2017-07-17,100000.0,100000.0,0,131129.6614588221
2017-07-18,100000.0,100000.0,0,131960.219930377
2017-07-19,100000.0,100000.0,0,132491.80763544491
2017-07-20,100000.0,100000.0,0,132860.65169803778
2017-07-21,100000.0,100000.0,0,132181.9254837456
2017-07-24,100000.0,100000.0,0,131976.6146022386
2017-07-25,100000.0,100000.0,0,130646.35739333498
2017-07-26,100000.0,100000.0,0,131125.9164691833
2017-07-27,100000.0,100000.0,0,128859.74166322645
2017-07-28,100000.0,100000.0,0,128071.54289137476
2017-07-31,100000.0,100000.0,0,126093.1509640395
2017-08-01,100000.0,100000.0,0,126569.74410662382
2017-08-02,100000.0,100000.0,0,126550.24135045682
2017-08-03,100000.0,100000.0,0,126004.46508259434
2017-08-04,100000.0,100000.0,0,131243.32107168675
2017-08-07,100000.0,100000.0,0,133966.238984128
2017-08-08,100000.0,100000.0,0,132934.72976215606
2017-08-09,100000.0,100000.0,0,132381.0215508465
2017-08-10,100000.0,100000.0,0,127996.44028610286
2017-08-11,100000.0,100000.0,0,127277.52908918698
2017-08-14,100000.0,100000.0,0,132521.6376177623
2017-08-15,100000.0,100000.0,0,133143.5238037458
2017-08-16,100000.0,100000.0,0,134171.72199479496
2017-08-17,100000.0,100000.0,0,131090.55738956112
2017-08-18,100000.0,100000.0,0,132203.6226353014
2017-08-21,100000.0,100000.0,0,130963.81608237847
2017-08-22,100000.0,100000.0,0,133846.1159517426
2017-08-23,100000.0,100000.0,0,134443.98091063186
2017-08-24,100000.0,100000.0,0,134337.33096760124
2017-08-25,100000.0,100000.0,0,133106.05941938885
2017-08-28,100000.0,100000.0,0,133972.72693252814
2017-08-29,100000.0,100000.0,0,134081.74257806657
2017-08-30,100000.0,100000.0,0,135612.83642752332
2017-08-31,100000.0,100000.0,0,136991.3888294316
2017-09-01,100000.0,100000.0,0,138232.04602085528
2017-09-05,100000.0,100000.0,0,135824.4973493275
2017-09-06,100000.0,100000.0,0,135739.88003010408
2017-09-07,100000.0,100000.0,0,136501.02080573016
2017-09-08,100000.0,100000.0,0,135125.61854952414
2017-09-11,100000.0,100000.0,0,138193.83982415602
2017-09-12,100000.0,100000.0,0,138838.5535094633
2017-09-13,100000.0,100000.0,0,139269.35979879074
2017-09-14,100000.0,100000.0,0,139036.23369342112
2017-09-15,100000.0,100000.0,0,142326.62002495964
2017-09-18,100000.0,100000.0,0,145924.6870022593
2017-09-19,100000.0,100000.0,0,146302.44002480002
2017-09-20,100000.0,100000.0,0,146420.88616801274
2017-09-21,100000.0,100000.0,0,144964.78522658464
2017-09-22,100000.0,100000.0,0,145089.5722561631
2017-09-25,100000.0,100000.0,0,139689.39700813635
2017-09-26,100000.0,100000.0,0,139746.9515486808
2017-09-27,100000.0,100000.0,0,144379.62608006524
2017-09-28,100000.0,100000.0,0,145470.7347878734
2017-09-29,100000.0,100000.0,0,148041.7807778183
2017-10-02,100000.0,100000.0,0,148989.0450838847
2017-10-03,100000.0,100000.0,0,149299.01941272838
2017-10-04,100000.0,100000.0,0,149219.60161768645
2017-10-05,100000.0,100000.0,0,149170.74476030673
2017-10-06,100000.0,100000.0,0,150202.94175992368
2017-10-09,100000.0,100000.0,0,152639.01595955755
2017-10-10,100000.0,100000.0,0,154377.34217628415
2017-10-11,100000.0,100000.0,0,155483.7410518526
2017-10-12,100000.0,100000.0,0,154123.4485536843
2017-10-13,100000.0,100000.0,0,154867.40394523568
